crop,farm_size_ha,province,district,ward,planting_date,planting_month,yield_tonnes_per_ha,rainfall_planting_month,rainfall_1_month_before,rainfall_2_months_before,rainfall_3_months_before,rainfall_preplant_3m_total,rainfall_preplant_3m_mean,preplant_rain_months_available,soil_ph,soil_organic_carbon_g_kg,soil_nitrogen_g_kg,soil_clay_percent,soil_sand_percent,soil_silt_percent,ndvi_preplant_mean,ndvi_preplant_max,ndvi_preplant_min,ndvi_preplant_std,ndvi_preplant_median,ndvi_preplant_first,ndvi_preplant_last,ndvi_preplant_observations,ndvi_preplant_change
 Sunflower (for grain),1.0,Central,Shibuyunji,KAPYANGA WEST,2024-11-01,11,1.389,55.46556854248047,17.529321670532227,,,,,1,6.1,17.3,1.08,25.2,48.4,26.3,0.2959666666666666,0.3368,0.2533,0.0417801787135159,0.2978,0.2533,0.3368,3,0.0834999999999999
 Maize(for grain),0.5,Northern,Mbala,KAZIMOLWA,2024-11-01,11,5.628,112.47306823730467,48.44123077392578,,,,,1,5.3,16.9,1.15,31.8,56.8,11.4,0.5822666666666667,0.6733,0.4891,0.092118528718892,0.5844,0.4891,0.6733,3,0.1842
 Finger Millet,0.25,Western,Sioma,MBUME,2024-12-01,12,1.23,119.12736511230466,43.89888000488281,13.016339302062988,,,,2,6.4,11.0,1.12,12.3,77.4,10.3,0.343375,0.4827,0.2753,0.0974463741415417,0.3077499999999999,0.2753,0.4827,4,0.2074
 Maize(for grain),1.0,Central,Mumbwa,NALUSANGA,2024-11-01,11,0.0575,64.47087097167969,21.844711303710938,,,,,1,6.0,15.2,1.16,21.2,57.8,21.0,0.3617999999999999,0.4013,0.3211,0.0401134640737994,0.363,0.3211,0.4013,3,0.0802
 Soya beans (for seed),1.0,Central,Mumbwa,NALUSANGA,2024-10-01,10,0.04912,21.844711303710938,,,,,,0,6.0,15.2,1.16,21.2,57.8,21.0,0.3211,0.3211,0.3211,0.0,0.3211,0.3211,0.3211,1,0.0
 Maize(for grain),2.0250000000000004,Eastern,Lusangazi,MATEYO MZEKA,2024-12-01,12,1.4197530864197527,99.2672348022461,101.29043579101562,17.33262825012207,,,,2,6.2,23.8,1.22,22.3,64.2,13.4,0.4463,0.6309,0.3114,0.1578488939883119,0.42145,0.3184,0.6309,4,0.3125
 Groundnuts(unshelled),0.405,Eastern,Lusangazi,MATEYO MZEKA,2024-12-01,12,0.9382716049382716,99.2672348022461,101.29043579101562,17.33262825012207,,,,2,6.2,23.8,1.22,22.3,64.2,13.4,0.4463,0.6309,0.3114,0.1578488939883119,0.42145,0.3184,0.6309,4,0.3125
 Soya beans (for seed),2.835,Eastern,Lusangazi,MATEYO MZEKA,2024-12-01,12,0.8663139329805997,99.2672348022461,101.29043579101562,17.33262825012207,,,,2,6.2,23.8,1.22,22.3,64.2,13.4,0.4463,0.6309,0.3114,0.1578488939883119,0.42145,0.3184,0.6309,4,0.3125
 Sunflower (for seed),0.81,Eastern,Lusangazi,MATEYO MZEKA,2025-01-01,1,0.5144444444444445,306.3879089355469,99.2672348022461,101.29043579101562,17.33262825012207,217.8902988433838,72.63009961446126,3,6.2,23.8,1.22,22.3,64.2,13.4,0.52375,0.6796,0.3114,0.1713082922686464,0.5777,0.3184,0.6777,6,0.3592999999999999
 Maize(for grain),3.0,Muchinga,Mpika,MUSAKANYA,2025-01-01,1,1.8244913,289.5213317871094,62.63320159912109,104.89986419677734,39.0770263671875,206.610092163086,68.87003072102864,3,6.1,14.2,1.12,18.7,67.6,13.8,0.4293666666666667,0.6565,0.27,0.1540274737398061,0.39205,0.27,0.5695,6,0.2995
