crop,farm_size_ha,province,district,ward,planting_date,planting_month,yield_tonnes_per_ha,rainfall_planting_month,rainfall_1_month_before,rainfall_2_months_before,rainfall_3_months_before,rainfall_preplant_3m_total,rainfall_preplant_3m_mean,preplant_rain_months_available,soil_ph,soil_organic_carbon_g_kg,soil_nitrogen_g_kg,soil_clay_percent,soil_sand_percent,soil_silt_percent,ndvi_preplant_mean,ndvi_preplant_max,ndvi_preplant_min,ndvi_preplant_std,ndvi_preplant_median,ndvi_preplant_first,ndvi_preplant_last,ndvi_preplant_observations,ndvi_preplant_change
 Maize(for grain),0.81,Eastern,Sinda,MNGDOMBA,2024-12-01,12,0.7098765432098765,112.3748016357422,76.95016479492188,14.941022872924805,,,,2,6.2,16.1,1.34,18.1,65.9,16.0,0.303975,0.402,0.2568,0.0668891807394888,0.27855,0.2568,0.402,4,0.1452
 Maize(for grain),1.0,North Western,Mushindano,KILUMBA,2024-10-01,10,1.4375,49.16716003417969,,,,,,0,5.8,22.9,1.77,32.1,37.3,30.6,0.6206,0.6206,0.6206,0.0,0.6206,0.6206,0.6206,1,0.0
 Groundnuts(unshelled),0.25,North Western,Mushindano,KILUMBA,2024-10-01,10,2.0,49.16716003417969,,,,,,0,5.8,22.9,1.77,32.1,37.3,30.6,0.6206,0.6206,0.6206,0.0,0.6206,0.6206,0.6206,1,0.0
 Maize(for grain),0.405,Eastern,Chipangali,KASENGA,2024-12-01,12,0.7098765432098765,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Soya beans (for grain),0.405,Eastern,Chipangali,KASENGA,2024-12-01,12,0.4851358024691357,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Sunflower (for grain),0.405,Eastern,Chipangali,KASENGA,2024-12-01,12,0.2057777777777777,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Maize(for grain),2.0,Southern,Chirundu,MUSHUNGU,2025-01-01,1,0.0,226.0818634033203,72.29200744628906,47.28758239746094,15.169661521911618,134.74925136566162,44.91641712188721,3,6.5,18.3,1.16,16.5,65.7,17.9,0.29575,0.3212,0.2662,0.0217930034644149,0.2967499999999999,0.2662,0.3212,6,0.0549999999999999
 Sorghum(for grain),2.0,Southern,Chirundu,MUSHUNGU,2025-01-01,1,0.0,226.0818634033203,72.29200744628906,47.28758239746094,15.169661521911618,134.74925136566162,44.91641712188721,3,6.5,18.3,1.16,16.5,65.7,17.9,0.29575,0.3212,0.2662,0.0217930034644149,0.2967499999999999,0.2662,0.3212,6,0.0549999999999999
 Finger Millet,1.0,Southern,Chirundu,MUSHUNGU,2025-01-01,1,0.1845,226.0818634033203,72.29200744628906,47.28758239746094,15.169661521911618,134.74925136566162,44.91641712188721,3,6.5,18.3,1.16,16.5,65.7,17.9,0.29575,0.3212,0.2662,0.0217930034644149,0.2967499999999999,0.2662,0.3212,6,0.0549999999999999
 Maize(for grain),0.25,Eastern,Chipangali,SISINJE,2024-12-01,12,0.92,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Soya beans (for grain),0.6075,Eastern,Chipangali,SISINJE,2024-12-01,12,0.6468477366255143,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Soya beans (for grain),2.43,Eastern,Chipangali,SISINJE,2024-12-01,12,0.6064197530864196,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Groundnuts(unshelled),0.25,Eastern,Chipangali,SISINJE,2024-12-01,12,0.32,105.349609375,91.82780456542967,26.51133346557617,,,,2,6.1,22.3,1.11,20.1,60.7,19.1,0.219925,0.2291,0.2073,0.0091222712815029,0.22165,0.2214,0.2291,4,0.0076999999999999
 Tobacco (Burley),0.2025,Eastern,Chipangali,SISINJE,2024-11-01,11,3.407407407407407,91.82780456542967,26.51133346557617,,,,,1,6.1,22.3,1.11,20.1,60.7,19.1,0.2168666666666666,0.2219,0.2073,0.0082887473922983,0.2214,0.2214,0.2073,3,-0.0141
 Maize(for grain),1.0,North Western,Kalumbila,KALOMBE,2024-11-01,11,2.875,143.21426391601562,39.578895568847656,,,,,1,5.4,15.4,1.25,31.3,39.8,28.9,0.6790666666666666,0.72,0.6304,0.0452978292342285,0.6868,0.6304,0.72,3,0.0896
 Maize(for seed),0.405,Western,Luampa,KAHUMBU,2024-12-01,12,0.8518518518518517,103.38371276855466,55.01159286499025,15.570112228393558,,,,2,6.0,11.7,1.15,18.0,72.4,9.6,0.52325,0.6385,0.4093,0.0935764037208811,0.5226,0.4093,0.6385,4,0.2291999999999999
 Maize(for grain),5.0,Muchinga,Mafinga,MULULU,2024-12-01,12,1.725,142.57269287109375,61.29127883911133,35.278499603271484,,,,2,5.7,23.8,1.39,27.0,62.4,10.6,0.5395749999999999,0.6777,0.4329,0.1018149096809172,0.5238499999999999,0.5153,0.4329,4,-0.0823999999999999
 Sweet Potatoes (for tuber),0.405,Muchinga,Mafinga,MULULU,2025-01-01,1,5.8055555555555545,176.1953125,142.57269287109375,61.29127883911133,35.278499603271484,239.14247131347656,79.71415710449219,3,5.7,23.8,1.39,27.0,62.4,10.6,0.6126166666666666,0.7643,0.4329,0.1379728729376418,0.60505,0.5153,0.7643,6,0.249
 Maize(for grain),1.5,Copperbelt,Masaiti,CHINONDO,2024-11-01,11,0.9583333333333334,98.40072631835938,37.76605224609375,,,,,1,5.9,18.5,1.33,22.2,55.0,22.8,0.4138666666666666,0.4586,0.36,0.0499304850099949,0.423,0.423,0.4586,3,0.0356
 Maize(for grain),2.5,Copperbelt,Masaiti,CHINONDO,2024-11-01,11,0.6900000000000001,98.40072631835938,37.76605224609375,,,,,1,5.9,18.5,1.33,22.2,55.0,22.8,0.4138666666666666,0.4586,0.36,0.0499304850099949,0.423,0.423,0.4586,3,0.0356
 Soya beans (for grain),0.9375,Copperbelt,Masaiti,CHINONDO,2025-01-01,1,0.1047893333333333,248.95797729492188,110.08627319335938,98.40072631835938,37.76605224609375,246.2530517578125,82.0843505859375,3,5.9,18.5,1.33,22.2,55.0,22.8,0.5258833333333333,0.6748,0.36,0.1296530202759144,0.5243,0.423,0.6489,6,0.2259
 Groundnuts(unshelled),1.25,Copperbelt,Masaiti,CHINONDO,2024-11-01,11,0.256,98.40072631835938,37.76605224609375,,,,,1,5.9,18.5,1.33,22.2,55.0,22.8,0.4138666666666666,0.4586,0.36,0.0499304850099949,0.423,0.423,0.4586,3,0.0356
 Groundnuts(unshelled),0.25,Copperbelt,Masaiti,CHINONDO,2024-11-01,11,0.384,98.40072631835938,37.76605224609375,,,,,1,5.9,18.5,1.33,22.2,55.0,22.8,0.4138666666666666,0.4586,0.36,0.0499304850099949,0.423,0.423,0.4586,3,0.0356
 Sunflower (for seed),2.0,Copperbelt,Masaiti,CHINONDO,2024-12-01,12,0.05556,110.08627319335938,98.40072631835938,37.76605224609375,,,,2,5.9,18.5,1.33,22.2,55.0,22.8,0.4579,0.59,0.36,0.0970452128305839,0.4407999999999999,0.423,0.59,4,0.1669999999999999
 Maize(green maize),0.125,Lusaka,Chongwe,MADIDO,2024-11-01,11,0.0,64.76591491699219,21.03059768676757,,,,,1,6.2,17.7,0.96,19.0,62.8,18.2,0.2863666666666666,0.305,0.2675,0.0187510888572726,0.2866,0.2866,0.2675,3,-0.0191
 Maize(for grain),2.0,Muchinga,Isoka,KAWENGA,2025-01-01,1,2.44375,204.2460021972656,123.16835021972656,56.44450378417969,28.605358123779297,208.21821212768555,69.40607070922852,3,5.8,18.8,1.19,21.7,68.4,9.9,0.60608,0.7334,0.4316,0.1332625866475658,0.6434,0.4316,0.7334,5,0.3018
 Maize(for grain),0.2025,Eastern,Chasefu,MAGODI,2024-12-01,12,1.8244913,87.7835693359375,77.0934066772461,38.38622283935547,,,,2,6.0,12.8,1.19,19.7,72.4,7.9,0.442275,0.528,0.3445,0.0788251387566175,0.4483,0.3445,0.4771,4,0.1326
 Maize(for grain),0.2025,Eastern,Chasefu,MAGODI,2024-12-01,12,2.555555555555556,87.7835693359375,77.0934066772461,38.38622283935547,,,,2,6.0,12.8,1.19,19.7,72.4,7.9,0.442275,0.528,0.3445,0.0788251387566175,0.4483,0.3445,0.4771,4,0.1326
 Mixed Beans (for grain),0.2025,Eastern,Chasefu,MAGODI,2025-02-01,2,1.3333333333333333,165.4577178955078,241.72137451171875,87.7835693359375,77.0934066772461,406.5983505249024,135.53278350830078,3,6.0,12.8,1.19,19.7,72.4,7.9,0.5073571428571428,0.6196,0.3445,0.0997986281993705,0.528,0.3445,0.5989,7,0.2544
 Soya beans (for grain),0.2025,Eastern,Chasefu,MAGODI,2024-12-01,12,0.7277037037037036,87.7835693359375,77.0934066772461,38.38622283935547,,,,2,6.0,12.8,1.19,19.7,72.4,7.9,0.442275,0.528,0.3445,0.0788251387566175,0.4483,0.3445,0.4771,4,0.1326
 Sweet Potatoes (for tuber),0.2025,Eastern,Chasefu,MAGODI,2025-02-01,2,0.5160493827160493,165.4577178955078,241.72137451171875,87.7835693359375,77.0934066772461,406.5983505249024,135.53278350830078,3,6.0,12.8,1.19,19.7,72.4,7.9,0.5073571428571428,0.6196,0.3445,0.0997986281993705,0.528,0.3445,0.5989,7,0.2544
 Sunflower (for grain),0.2025,Eastern,Chasefu,MAGODI,2024-12-01,12,0.4270088999999999,87.7835693359375,77.0934066772461,38.38622283935547,,,,2,6.0,12.8,1.19,19.7,72.4,7.9,0.442275,0.528,0.3445,0.0788251387566175,0.4483,0.3445,0.4771,4,0.1326
 Sunflower (for grain),0.2025,Eastern,Chasefu,MAGODI,2025-02-01,2,0.4270088999999999,165.4577178955078,241.72137451171875,87.7835693359375,77.0934066772461,406.5983505249024,135.53278350830078,3,6.0,12.8,1.19,19.7,72.4,7.9,0.5073571428571428,0.6196,0.3445,0.0997986281993705,0.528,0.3445,0.5989,7,0.2544
 Sunflower (for grain),0.2025,Eastern,Chasefu,MAGODI,2024-12-01,12,0.6859259259259258,87.7835693359375,77.0934066772461,38.38622283935547,,,,2,6.0,12.8,1.19,19.7,72.4,7.9,0.442275,0.528,0.3445,0.0788251387566175,0.4483,0.3445,0.4771,4,0.1326
 Sunflower (for grain),0.2025,Eastern,Chasefu,MAGODI,2025-01-01,1,0.823111111111111,241.72137451171875,87.7835693359375,77.0934066772461,38.38622283935547,203.26319885253903,67.75439961751302,3,6.0,12.8,1.19,19.7,72.4,7.9,0.4921,0.6196,0.3445,0.0999818183471375,0.50255,0.3445,0.5639,6,0.2193999999999999
 Groundnuts(unshelled),0.2025,Eastern,Chasefu,MAGODI,2024-12-01,12,1.2641975308641975,87.7835693359375,77.0934066772461,38.38622283935547,,,,2,6.0,12.8,1.19,19.7,72.4,7.9,0.442275,0.528,0.3445,0.0788251387566175,0.4483,0.3445,0.4771,4,0.1326
 Groundnuts(unshelled),0.2025,Eastern,Chasefu,MAGODI,2024-12-01,12,0.6320987654320988,87.7835693359375,77.0934066772461,38.38622283935547,,,,2,6.0,12.8,1.19,19.7,72.4,7.9,0.442275,0.528,0.3445,0.0788251387566175,0.4483,0.3445,0.4771,4,0.1326
 Maize(for grain),0.81,Eastern,Katete,KADULA,2024-12-01,12,2.1296296296296298,116.5820541381836,139.72201538085938,12.146381378173828,,,,2,6.3,19.3,1.49,21.3,55.1,23.5,0.218075,0.2346,0.1992,0.01454587570413,0.21925,0.2181,0.2204,4,0.0023
 Maize(for grain),0.81,Eastern,Katete,KADULA,2024-10-01,10,0.7098765432098765,12.146381378173828,,,,,,0,6.3,19.3,1.49,21.3,55.1,23.5,0.2181,0.2181,0.2181,0.0,0.2181,0.2181,0.2181,1,0.0
 Soya beans (for grain),1.215,Eastern,Katete,KADULA,2024-10-01,10,0.6064197530864196,12.146381378173828,,,,,,0,6.3,19.3,1.49,21.3,55.1,23.5,0.2181,0.2181,0.2181,0.0,0.2181,0.2181,0.2181,1,0.0
 Sunflower (for grain),1.62,Eastern,Katete,KADULA,2024-12-01,12,0.5144444444444445,116.5820541381836,139.72201538085938,12.146381378173828,,,,2,6.3,19.3,1.49,21.3,55.1,23.5,0.218075,0.2346,0.1992,0.01454587570413,0.21925,0.2181,0.2204,4,0.0023
 Maize(for grain),1.25,Copperbelt,Mpongwe,NTANDA,2024-10-01,10,0.92,37.452335357666016,,,,,,0,6.1,16.5,1.1,23.8,48.4,27.8,0.3016,0.3016,0.3016,0.0,0.3016,0.3016,0.3016,1,0.0
 Maize(for grain),2.5,Copperbelt,Mpongwe,NTANDA,2024-11-01,11,2.185,98.8878936767578,37.452335357666016,,,,,1,6.1,16.5,1.1,23.8,48.4,27.8,0.3289,0.3821,0.3016,0.0460778688743305,0.303,0.3016,0.3821,3,0.0805
 Maize(for grain),1.0,Copperbelt,Mpongwe,NTANDA,2024-11-01,11,1.4375,98.8878936767578,37.452335357666016,,,,,1,6.1,16.5,1.1,23.8,48.4,27.8,0.3289,0.3821,0.3016,0.0460778688743305,0.303,0.3016,0.3821,3,0.0805
 Sunflower (for grain),0.25,Copperbelt,Mpongwe,NTANDA,2024-12-01,12,1.1112,121.7514877319336,98.8878936767578,37.452335357666016,,,,2,6.1,16.5,1.1,23.8,48.4,27.8,0.3484,0.4069,0.3016,0.0541889902717024,0.34255,0.3016,0.4069,4,0.1053
 Sweet Potatoes (for tuber),0.0625,Luapula,Chifumunabuli,CHIFUNABULI,2024-11-01,11,1.656,85.25543212890625,29.17923355102539,,,,,1,5.6,50.3,1.42,22.2,63.9,13.9,0.4896,0.5476,0.4543,0.050623018479739,0.4669,0.4669,0.5476,3,0.0807
 Sweet Potatoes (for tuber),0.125,Luapula,Chifumunabuli,CHIFUNABULI,2024-12-01,12,2.09,150.72601318359375,85.25543212890625,29.17923355102539,,,,2,5.6,50.3,1.42,22.2,63.9,13.9,0.500175,0.5476,0.4543,0.0464304049088525,0.4994,0.4669,0.5319,4,0.065
 Groundnuts(unshelled),0.125,Luapula,Chifumunabuli,CHIFUNABULI,2024-11-01,11,0.896,85.25543212890625,29.17923355102539,,,,,1,5.6,50.3,1.42,22.2,63.9,13.9,0.4896,0.5476,0.4543,0.050623018479739,0.4669,0.4669,0.5476,3,0.0807
 Maize(for grain),0.625,North Western,Zambezi,MPIDI KAKONG,2024-11-01,11,1.84,141.6587677001953,47.99106597900391,,,,,1,5.9,18.2,1.22,22.3,59.6,18.1,0.2863,0.304,0.2767,0.0153469866749143,0.2782,0.2767,0.304,3,0.0272999999999999
 Rice,0.5,Luapula,Lunga,NCHETA,2024-11-01,11,0.80968,87.95390319824219,25.954912185668945,,,,,1,5.8,41.0,2.45,22.2,60.7,17.1,0.5259333333333334,0.5602,0.5076,0.0297000561166697,0.51,0.5076,0.5602,3,0.0525999999999999
 Rice,0.5,Luapula,Lunga,NCHETA,2024-11-01,11,1.0121,87.95390319824219,25.954912185668945,,,,,1,5.8,41.0,2.45,22.2,60.7,17.1,0.5259333333333334,0.5602,0.5076,0.0297000561166697,0.51,0.5076,0.5602,3,0.0525999999999999
 Maize(for grain),0.25,Muchinga,Isoka,LUANGWA,2024-11-01,11,3.45,56.44450378417969,28.605358123779297,,,,,1,5.8,18.8,1.19,21.7,68.4,9.9,0.5263,0.6434,0.4316,0.1076621103267068,0.5039,0.4316,0.6434,3,0.2118
 Maize(for grain),1.0,Lusaka,Kafue,SHABUSALE,2024-11-01,11,0.575,53.643890380859375,20.522159576416016,,,,,1,6.3,17.9,1.45,17.6,59.6,22.8,0.4232666666666667,0.6261,0.3207,0.1756625837602684,0.323,0.323,0.6261,3,0.3031
 Maize(for grain),5.0,Central,Mumbwa,NAKASAKA,2024-11-01,11,2.07,64.47087097167969,21.844711303710938,,,,,1,6.0,15.2,1.16,21.2,57.8,21.0,0.3617999999999999,0.4013,0.3211,0.0401134640737994,0.363,0.3211,0.4013,3,0.0802
 Soya beans (for grain),3.0,Central,Mumbwa,NAKASAKA,2024-11-01,11,0.04912,64.47087097167969,21.844711303710938,,,,,1,6.0,15.2,1.16,21.2,57.8,21.0,0.3617999999999999,0.4013,0.3211,0.0401134640737994,0.363,0.3211,0.4013,3,0.0802
 Maize(for grain),0.25,Central,Chitambo,NAKATAMBO,2024-11-01,11,2.3,85.33334350585938,28.47952079772949,,,,,1,6.2,22.1,1.38,23.1,52.0,24.9,0.6263666666666666,0.6692,0.5899,0.0400315292405041,0.62,0.5899,0.6692,3,0.0793
 Sorghum(for grain),0.25,Central,Chitambo,NAKATAMBO,2024-11-01,11,0.184,85.33334350585938,28.47952079772949,,,,,1,6.2,22.1,1.38,23.1,52.0,24.9,0.6263666666666666,0.6692,0.5899,0.0400315292405041,0.62,0.5899,0.6692,3,0.0793
 Maize(for grain),1.2,Southern,Zimba,ZIMBA,2024-12-01,12,0.3833333333333333,100.22216033935548,35.61693572998047,5.979544162750244,,,,2,6.1,14.9,1.11,21.0,55.2,23.9,0.335225,0.3631,0.3052,0.0272760426015211,0.3363,0.3052,0.3529,4,0.0476999999999999
 Maize(for grain),0.5,Western,Kalabo,CHILELE,2024-10-01,10,0.0,17.893606185913086,,,,,,0,5.5,19.2,1.19,14.4,74.4,11.3,0.3674,0.3674,0.3674,0.0,0.3674,0.3674,0.3674,1,0.0
 Finger Millet,0.75,Western,Kalabo,CHILELE,2024-10-01,10,0.574,17.893606185913086,,,,,,0,5.5,19.2,1.19,14.4,74.4,11.3,0.3674,0.3674,0.3674,0.0,0.3674,0.3674,0.3674,1,0.0
 Maize(for grain),0.81,Eastern,Nyimba,KALIWE,2024-11-01,11,0.8518518518518517,74.18803405761719,19.85343360900879,,,,,1,6.4,22.8,1.24,19.2,68.8,12.0,0.3425666666666667,0.3667,0.3258,0.0214220291600337,0.3352,0.3258,0.3667,3,0.0409
 Sunflower (for grain),0.405,Eastern,Nyimba,KALIWE,2025-02-01,2,0.3429629629629629,201.3953857421875,249.6048583984375,100.65531158447266,74.18803405761719,424.44820404052734,141.48273468017578,3,6.4,22.8,1.24,19.2,68.8,12.0,0.4787285714285714,0.6667,0.3258,0.1415607138802489,0.4873,0.3258,0.6667,7,0.3409
 Maize(for grain),0.25,Northern,Mungwi,CHAMFUBU,2024-12-01,12,3.45,181.7246551513672,95.17550659179688,32.72066879272461,,,,2,5.6,14.7,1.23,24.7,59.8,15.5,0.5574,0.6881,0.3484,0.1458766373801279,0.5965499999999999,0.3484,0.6881,4,0.3397
 Maize(for grain),0.5,Northern,Mungwi,CHAMFUBU,2024-11-01,11,2.875,95.17550659179688,32.72066879272461,,,,,1,5.6,14.7,1.23,24.7,59.8,15.5,0.5138333333333333,0.5989,0.3484,0.1432887411255096,0.5942,0.3484,0.5989,3,0.2505
 Soya beans (for grain),0.25,Northern,Mungwi,CHAMFUBU,2025-03-01,3,0.78592,212.5145263671875,246.593505859375,214.4437866210937,181.7246551513672,642.7619476318359,214.2539825439453,3,5.6,14.7,1.23,24.7,59.8,15.5,0.6369625,0.7723,0.3484,0.1306472452008515,0.6844,0.3484,0.6807,8,0.3323
 Maize(for grain),2.0,Lusaka,Lusaka,Harry Mwanga Nkumbula,2024-11-01,11,1.58125,51.41583251953125,13.617804527282717,,,,,1,,,,,,,0.3636999999999999,0.3743,0.3515,0.0114839017759644,0.3653,0.3743,0.3653,3,-0.009
 Groundnuts(unshelled),0.81,Lusaka,Lusaka,Harry Mwanga Nkumbula,2024-11-01,11,1.0555555555555554,51.41583251953125,13.617804527282717,,,,,1,,,,,,,0.3636999999999999,0.3743,0.3515,0.0114839017759644,0.3653,0.3743,0.3653,3,-0.009
 Maize(for grain),0.25,Muchinga,Shiwang'andu,CHIBINDA,2024-12-01,12,2.99,126.72682189941406,78.30069732666016,43.64832305908203,,,,2,5.8,16.7,1.83,18.4,67.0,14.6,0.533325,0.6508,0.4176,0.1002769290515021,0.53245,0.4176,0.6508,4,0.2332
 Maize(for grain),0.405,Muchinga,Isoka,KASOKA,2024-12-01,12,1.419753086419753,123.16835021972656,56.44450378417969,28.605358123779297,,,,2,5.8,18.8,1.19,21.7,68.4,9.9,0.5263,0.6434,0.4316,0.1076621103267068,0.5039,0.4316,0.6434,3,0.2118
 Maize(for grain),0.5,Copperbelt,Chingola,CHINGOLA,2024-11-01,11,1.15,122.30860900878906,28.877010345458984,,,,,1,5.5,22.6,1.55,28.6,50.0,21.4,0.5334,0.5716,0.4986,0.0366185745216823,0.53,0.4986,0.5716,3,0.073
 Maize(for grain),0.25,Eastern,Lumezi,LUMIMBA,2024-11-01,11,0.23,122.63136291503906,27.49403953552246,,,,,1,6.1,18.2,1.4,18.6,66.1,15.4,0.3600333333333333,0.412,0.3249,0.045925192795821,0.3432,0.3249,0.412,3,0.0870999999999999
 Maize(for seed),0.25,Eastern,Lumezi,LUMIMBA,2024-11-01,11,0.23,122.63136291503906,27.49403953552246,,,,,1,6.1,18.2,1.4,18.6,66.1,15.4,0.3600333333333333,0.412,0.3249,0.045925192795821,0.3432,0.3249,0.412,3,0.0870999999999999
 Maize(for grain),0.5,Luapula,Kawambwa,ILOMBE,2024-11-01,11,2.3,160.85316467285156,99.5114974975586,,,,,1,5.4,20.7,1.07,24.5,42.7,32.8,0.6546333333333333,0.7249,0.5345,0.1045373298555752,0.7045,0.5345,0.7249,3,0.1904
 Groundnuts(unshelled),0.25,Luapula,Kawambwa,ILOMBE,2024-12-01,12,0.0,203.8400421142578,160.85316467285156,99.5114974975586,,,,2,5.4,20.7,1.07,24.5,42.7,32.8,0.6923499999999999,0.8055,0.5345,0.1139103009682033,0.7147,0.5345,0.8055,4,0.271
 Maize(for grain),0.5,Muchinga,Isoka,KASOKA,2025-01-01,1,4.6,204.2460021972656,123.16835021972656,56.44450378417969,28.605358123779297,208.21821212768555,69.40607070922852,3,5.8,18.8,1.19,21.7,68.4,9.9,0.60608,0.7334,0.4316,0.1332625866475658,0.6434,0.4316,0.7334,5,0.3018
 Maize(for grain),1.0,Northern,Lupososhi,KAELA,2024-11-01,11,1.035,106.56314849853516,36.63883972167969,,,,,1,5.4,19.4,1.2,22.2,63.7,14.1,0.5104000000000001,0.5756,0.4689,0.057161962877424,0.4867,0.4689,0.5756,3,0.1067
 Sweet Potatoes (for tuber),0.5,Northern,Lupososhi,KAELA,2024-12-01,12,3.135,151.40560913085938,106.56314849853516,36.63883972167969,,,,2,5.4,19.4,1.2,22.2,63.7,14.1,0.542425,0.6385,0.4689,0.0792510515177348,0.53115,0.4689,0.6385,4,0.1695999999999999
 Groundnuts(unshelled),0.75,Northern,Lupososhi,KAELA,2024-11-01,11,0.32,106.56314849853516,36.63883972167969,,,,,1,5.4,19.4,1.2,22.2,63.7,14.1,0.5104000000000001,0.5756,0.4689,0.057161962877424,0.4867,0.4689,0.5756,3,0.1067
 Maize(for grain),0.375,Luapula,Milenge,LWELA,2024-12-01,12,1.5333333333333332,141.29046630859375,83.71837615966797,38.41905212402344,,,,2,5.6,23.2,1.98,24.2,63.6,12.2,0.6522,0.6861,0.5909,0.0427799018231692,0.6658999999999999,0.6557,0.6761,4,0.0204
 Sweet Potatoes (for tuber),0.1875,Luapula,Milenge,LWELA,2024-11-01,11,1.1146666666666667,83.71837615966797,38.41905212402344,,,,,1,5.6,23.2,1.98,24.2,63.6,12.2,0.6442333333333333,0.6861,0.5909,0.0486248221933338,0.6557,0.6557,0.6861,3,0.0304
 Maize(for grain),0.75,Southern,Sinazongwe,TEKELO,2025-01-01,1,1.38,193.13479614257807,96.39926147460938,33.733642578125,9.599763870239258,139.73266792297363,46.57755597432455,3,6.4,13.6,1.01,22.0,62.7,15.3,0.2336666666666666,0.2345,0.2323,0.0011930353445448,0.2342,0.2345,0.2342,3,-0.0002999999999999
 Maize(for grain),0.25,Southern,Sinazongwe,TEKELO,2024-12-01,12,2.3,96.39926147460938,33.733642578125,9.599763870239258,,,,2,6.4,13.6,1.01,22.0,62.7,15.3,0.2334,0.2345,0.2323,0.0015556349186103,0.2334,0.2345,0.2323,2,-0.0021999999999999
 Sorghum(for grain),1.0,Southern,Sinazongwe,TEKELO,2024-12-01,12,0.322,96.39926147460938,33.733642578125,9.599763870239258,,,,2,6.4,13.6,1.01,22.0,62.7,15.3,0.2334,0.2345,0.2323,0.0015556349186103,0.2334,0.2345,0.2323,2,-0.0021999999999999
 Maize(for grain),0.125,Western,Senanga,LUMBE,2024-11-01,11,0.0,54.46680450439453,13.955497741699222,,,,,1,6.0,16.1,0.88,13.0,79.5,7.5,0.5226333333333333,0.5881,0.4007,0.1056932038180947,0.5791,0.4007,0.5881,3,0.1873999999999999
 Maize(for grain),2.0,Muchinga,Mpika,MUKUNGWA,2024-12-01,12,3.45,62.63320159912109,104.89986419677734,39.0770263671875,,,,2,6.1,14.2,1.12,18.7,67.6,13.8,0.33755,0.419,0.27,0.0675134801354514,0.3306,0.27,0.419,4,0.1489999999999999
 Finger Millet,0.25,Muchinga,Mpika,MUKUNGWA,2024-12-01,12,2.46,62.63320159912109,104.89986419677734,39.0770263671875,,,,2,6.1,14.2,1.12,18.7,67.6,13.8,0.33755,0.419,0.27,0.0675134801354514,0.3306,0.27,0.419,4,0.1489999999999999
 Sweet Potatoes (for tuber),0.5,Muchinga,Mpika,MUKUNGWA,2025-01-01,1,4.7025,289.5213317871094,62.63320159912109,104.89986419677734,39.0770263671875,206.610092163086,68.87003072102864,3,6.1,14.2,1.12,18.7,67.6,13.8,0.4293666666666667,0.6565,0.27,0.1540274737398061,0.39205,0.27,0.5695,6,0.2995
 Maize(for grain),0.405,Muchinga,Mafinga,THENDERE,2025-01-01,1,4.117283950617284,176.1953125,142.57269287109375,61.29127883911133,35.278499603271484,239.14247131347656,79.71415710449219,3,5.7,23.8,1.39,27.0,62.4,10.6,0.6126166666666666,0.7643,0.4329,0.1379728729376418,0.60505,0.5153,0.7643,6,0.249
 Maize(for grain),0.405,Eastern,Chipata,MASUPE,2024-12-01,12,0.0,116.5771484375,113.44657135009766,21.391830444335938,,,,2,5.8,16.7,1.01,17.5,67.5,15.0,0.3990749999999999,0.5691,0.3027,0.1207115121546684,0.3622499999999999,0.3027,0.5691,4,0.2664
 Soya beans (for grain),0.6075,Eastern,Chipata,MASUPE,2024-12-01,12,0.0,116.5771484375,113.44657135009766,21.391830444335938,,,,2,5.8,16.7,1.01,17.5,67.5,15.0,0.3990749999999999,0.5691,0.3027,0.1207115121546684,0.3622499999999999,0.3027,0.5691,4,0.2664
 Sunflower (for grain),0.2025,Eastern,Chipata,MASUPE,2025-01-01,1,0.0,310.5411682128906,116.5771484375,113.44657135009766,21.391830444335938,251.4155502319336,83.80518341064453,3,5.8,16.7,1.01,17.5,67.5,15.0,0.4641333333333333,0.6212,0.3027,0.1385333557908226,0.4835,0.3027,0.5673,6,0.2646
 Maize(for grain),0.81,Eastern,Petauke,KOVYANE,2024-11-01,11,0.8518518518518517,75.85102844238281,12.000802993774414,,,,,1,6.2,18.2,1.38,25.7,55.1,19.2,0.2678999999999999,0.2706,0.2631,0.0041677331968349,0.27,0.27,0.2631,3,-0.0069
